0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:09 +0800] "GET /login.html HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:10 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "POST /sys/login HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "GET /index.html HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "GET /main.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "GET /sys/user/info?_1551834673309 HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "GET /sys/menu/nav?_1551834673307 HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:13 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:15 +0800] "GET /modules/content/institutional_selfmedia.html HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:15 +0800] "GET /statics/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:15 +0800] "GET /statics/js/modules/content/institutional_selfmedia.js HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:11:15 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:13:12 +0800] "GET /index.html HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:13:12 +0800] "GET /statics/css/element.css HTTP/1.1" 200 198714
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:13:12 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:13:12 +0800] "GET /statics/css/all-skins.min.css HTTP/1.1" 200 40917
0:0:0:0:0:0:0:1 - - [06/Mar/2019:09:13:12 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
