0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:50 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:50 +0800] "GET /statics/libs/app.js HTTP/1.1" 200 24052
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:50 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:50 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:50 +0800] "GET /statics/js/index.js HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /sys/user/info?_1552613511050 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /main.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/images/logo.png HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /sys/menu/nav?_1552613511048 HTTP/1.1" 200 4920
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /modules/content/edit_article.html HTTP/1.1" 200 17412
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/element.css HTTP/1.1" 200 198714
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /ueditor/lang/zh-cn/zh-cn.js HTTP/1.1" 200 30020
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /ueditor/ueditor.config.js HTTP/1.1" 200 24255
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /ueditor/addCustomizeButton.js HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 200 19220
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /ueditor/ueditor.all.min.js HTTP/1.1" 200 383090
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/ztree/css/metroStyle/metroStyle.css HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/main.css HTTP/1.1" 200 6430
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/js/common.js HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/ztree/jquery.ztree.all.min.js HTTP/1.1" 200 63569
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/jqgrid/grid.locale-cn.js HTTP/1.1" 200 9588
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/jqgrid/jquery.jqGrid.min.js HTTP/1.1" 200 336240
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/libs/jquery.base64.js HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/js/modules/content/edit_article.js HTTP/1.1" 200 14712
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/js/element.js HTTP/1.1" 200 492386
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /statics/css/fonts/element-icons.woff HTTP/1.1" 200 6164
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "POST /channel/list HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "POST /column/list HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /ueditor/themes/default/css/ueditor.css HTTP/1.1" 200 45440
0:0:0:0:0:0:0:1 - - [15/Mar/2019:09:31:51 +0800] "GET /ueditor/themes/iframe.css HTTP/1.1" 200 42
